GeoFips,GeoName,LineCode,Description,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
48501,"Yoakum, TX",6,"    Mining, quarrying, and oil and gas extraction",1003253,1083009,1489346,1885932,1820645,2268811,2549209,3340198,2031616,2386196,2746821,2757433,2736910,2330949,1176224,1092791,1499586,1795097,1421034,595735
48501,"Yoakum, TX",10,    Utilities,102882,97538,106251,120960,118334,113262,114668,126353,124184,105968,138984,130882,97538,112112,44502,105426,100255,125590,189663,93682
48501,"Yoakum, TX",11,    Construction,8923,9211,9876,9758,12225,13983,17378,19826,19854,22053,28975,46723,51602,49898,34473,23994,24364,31354,34955,26333
48501,"Yoakum, TX",12,    Manufacturing,7842,7087,7682,12192,15579,20013,25306,20354,16300,14660,29374,50471,25783,23511,17180,9982,10156,12382,9734,7084
48501,"Yoakum, TX",13,      Durable goods manufacturing,(D),4668,(D),(D),(D),10373,(D),(D),(D),(D),(D),(D),18276,15285,9833,6191,7902,10121,8088,5645
48501,"Yoakum, TX",25,      Nondurable goods manufacturing,(D),2419,(D),(D),(D),9640,(D),(D),(D),(D),(D),(D),7507,8225,7347,3791,2254,2261,1646,1440
48501,"Yoakum, TX",34,    Wholesale trade,6000,5981,4692,6250,7943,10669,11544,13469,14121,16319,19902,26737,23377,22776,18714,17316,16680,16872,26736,22769
48501,"Yoakum, TX",35,    Retail trade,7818,8182,8071,7840,8285,9498,9987,10895,12439,11933,11830,13284,14096,14810,14437,15189,15862,16175,16234,16885
48501,"Yoakum, TX",36,    Transportation and warehousing,12580,15823,14529,29620,13108,16901,18867,24899,18324,23360,28810,30486,21867,20970,18739,8753,13364,(D),(D),(D)
48501,"Yoakum, TX",45,    Information,1908,1802,1574,1406,912,947,1330,1590,1582,1416,1085,973,1115,(D),(D),(D),1541,1567,1398,1286
48501,"Yoakum, TX",50,"    Finance, insurance, real estate, rental, and leasing",22565,22768,23665,25189,31338,35557,36856,42966,46936,49018,39082,44422,48930,53805,57630,64308,70377,74502,66425,63984
48501,"Yoakum, TX",51,      Finance and insurance,8508,8549,9852,10172,13992,13942,12419,18860,22842,22076,11872,18234,17433,11939,9788,11340,9225,9142,9544,9687
48501,"Yoakum, TX",56,      Real estate and rental and leasing,14056,14219,13813,15017,17346,21615,24437,24107,24094,26943,27210,26188,31497,41866,47842,52968,61152,65360,56881,54298
48501,"Yoakum, TX",59,    Professional and business services,7612,7835,8956,9125,12140,15627,24711,25626,25661,29411,34819,43559,45920,42057,32779,27530,27461,27056,31083,31486
48501,"Yoakum, TX",60,"      Professional, scientific, and technical services",2766,2633,2423,1791,(D),(D),2385,2469,2404,2524,3050,4267,5228,5184,4033,3139,3831,4467,6731,8643
48501,"Yoakum, TX",64,      Management of companies and enterprises,3659,3947,4022,4857,(D),(D),8514,10517,9565,9501,10072,10860,10607,11769,11535,11742,13742,15374,16465,15679
48501,"Yoakum, TX",65,      Administrative and support and waste management and remediation services,1187,1255,2510,2477,(D),5893,13813,12641,13693,17386,21697,28432,30086,25104,17212,12649,9888,7215,7887,7164
48501,"Yoakum, TX",68,"    Educational services, health care, and social assistance",3603,3710,3853,3489,3037,2403,2468,2376,2213,2666,4275,5136,5807,6316,6812,6810,6808,6652,7860,6954
48501,"Yoakum, TX",69,      Educational services,155,160,195,156,94,54,108,104,110,112,113,(D),(D),(D),(D),(D),(D),(D),(D),(D)
